sergId,eiere,eiendomstype,boligtype,boligensAreal,byggeaar,matrikkelnummer,vei_adressekode,vei_adressenavn,vei_adressenummer_bruksenhetsnummere,vei_adressenummer_husnummer,vei_adressenummer_husbokstav,postnummer,poststed,aarForMottattMarkedsverdi,justertMarkedsverdi,reduksjonsfaktor,boligverdi
1,"['19855897736 (GIFT)', '21865898093 (GIFT)']",selveidBolig,enebolig,140,1954,4203/61/39/0/0,13509,Nedre Gartavei,[],96,,4810,EYDEHAVN,,,,
2,['05924598338 (UGIFT)'],selveidBolig,enebolig,198,1964,3205/31/266/0/0,5050,Granaveien,[],15,,2007,KJELLER,2021,7398526,0.8438833173,8767238
3,"['56908400920 (UOPPGITT)', '21865898093 (GIFT)']",selveidBolig,enebolig,143,1963,4214/64/23/0/0,1060,Bøylestadveien,[],1200,,4820,FROLAND,,,,
4,"['27886796922 (GIFT)', '07887095684 (GIFT)']",selveidBolig,enebolig,230,1969,4213/59/1/0/49,1036,Andres vei,[],7,,4900,TVEDESTRAND,,,,
5,"['17860349477 (GIFT)', '19900449707 (GIFT)']",selveidBolig,enebolig,180,1932,3101/25/13/0/0,2831,Grimsøyveien,[],30,,1789,BERG I ØSTFOLD,2021,3461868,0.8501219006,4072202
6,['02857699737 (UGIFT)'],selveidBolig,enebolig,103,1985,3431/9/85/0/0,1022,Myravegen,[],8,,2660,DOMBÅS,,,,
7,['49910775153 (UOPPGITT)'],selveidBolig,enebolig,116,1983,4649/43/1/0/83,1080,Fjellvegen,[],74,B,6770,NORDFJORDEID,2021,2719288,0.9265546104,2934838
8,"['15814798140 (GIFT)', '19854799617 (GIFT)']",selveidBolig,enebolig,236,1950,4601/5/14/0/0,31830,Hardangervegen,[],276,,5226,NESTTUN,2021,5493279,0.7819006336,7025546
9,"['15814798140 (GIFT)', '19854799617 (GIFT)']",selveidBolig,enebolig,194,1992,4601/10/700/0/0,33943,Nattlandsrinden,[],185,,5098,BERGEN,2021,5440391,0.5909664863,9205921
10,"['30819299028 (GIFT)', '12919399951 (GIFT)']",selveidBolig,enebolig,151,1954,4601/10/106/0/0,34047,Nedre Nattland,[],22,F,5099,BERGEN,2021,3545790,0.5483903281,6465815
11,['311180959 (aksjeselskap)'],selveidBolig,enebolig,142,1978,4601/111/3/0/0,32140,Lilandsvegen,[],89,,5258,BLOMSTERDALEN,,,,
12,['21879899475 (UGIFT)'],selveidBolig,enebolig,139,1983,0301/10/1036/0/0,12709,Hartmanns vei,[],3,,0284,OSLO,2021,3142390,0.2309868737,13604191
13,['14817799141 (UGIFT)'],selveidBolig,enebolig,200,1923,0301/10/135/0/0,16903,Sponhoggveien,[],9,,0284,OSLO,2021,9880831,0.5715110409,17288959
14,['311688480 (aksjeselskap)'],selveidBolig,enebolig,190,1980,0301/72/364/0/0,13747,Kjelsåsveien,[],118,B,0491,OSLO,2021,3686848,0.2104948523,17515144
15,"['10825297052 (GIFT)', '02835597779 (GIFT)']",selveidBolig,enebolig,340,1864,0301/198/176/0/0,12851,Heimlibakken,[],1,,0198,OSLO,2021,5142612,0.2355968568,21828016
16,"['05904697666 (GIFT)', '27815096180 (GIFT)']",selveidBolig,enebolig,145,1914,0301/10/116/0/0,18425,Vækerøveien,[],34,A,0282,OSLO,2021,3139811,0.2244606603,13988247
17,"['25838396987 (GIFT)', '04868496806 (GIFT)']",skalIkkeFastsettes,,,,0301/10/710/0/0,,,[],,,,,,,,
18,"['25838396987 (GIFT)', '04868496806 (GIFT)']",skalIkkeFastsettes,,,,0301/10/712/0/0,,,[],,,,,,,,
19,"['05904697666 (GIFT)', '27815096180 (GIFT)']",selveidBolig,enebolig,95,1972,4601/3/71/0/0,33821,Brattlandsvegen,[],161,,5268,HAUKELAND,2021,2479471,0.6034717124,4108678
20,['15929599567 (UGIFT)'],skalIkkeFastsettes,,,,4601/1/26/0/0,,,[],,,,,,,,
21,['15929599567 (UGIFT)'],skalIkkeFastsettes,,,,4601/3/91/0/0,,,[],,,,,,,,
22,"['19921249511 (GIFT)', '05871348814 (GIFT)']",jordbrukseiendom,,,,4601/1/2/0/0,33821,Brattlandsvegen,[],158,,5268,HAUKELAND,,,,
23,['15929599567 (UGIFT)'],skalIkkeFastsettes,,,,4601/1/11/0/0,,,[],,,,,,,,
24,"['19921249511 (GIFT)', '05871348814 (GIFT)']",jordbrukseiendom,,,,0301/13/13/0/0,21629,Langliveien,[],261,,0758,OSLO,,,,
25,"['25838396987 (GIFT)', '04868496806 (GIFT)']",skalIkkeFastsettes,,,,0301/19/4/0/0,21629,Langliveien,[],269,,0758,OSLO,,,,
26,['29881498837 (UGIFT)'],tomt,,,,2100/22/688/0/0,,,[],,,,,,,,
27,"['09913349366 (GIFT)', '23913149270 (GIFT)']",tomt,,,,1804/42/487/0/0,,,[],,,,,,,,
28,"['21841549918 (GIFT)', '07831449475 (GIFT)']",tomt,,,,1525/45/26/0/0,,,[],,,,,,,,
29,['02851698208 (UGIFT)'],tomt,,,,3101/15/14/0/0,6300,Sponvikveien,[],49,,1794,SPONVIKA,,,,
30,['08821899401 (UGIFT)'],tomt,,,,3101/20/15/0/0,,,[],,,,,,,,
31,"['03860548436 (GIFT)', '22910349531 (GIFT)']",tomt,,,,5001/300/14/0/0,,,[],,,,,,,,
32,['01871449844 (UGIFT)'],tomt,,,,2100/22/1/0/4,,,[],,,,,,,,
33,['314002903 (aksjeselskap)'],annenFastEiendomUtenforInntektsgivendeAktivitet,,,,0301/11/298/0/0,,,[],,,,,,,,
34,"['05924698510 (UGIFT)', '13898899858 (GIFT)', '26869099766 (GIFT)']",annenFastEiendomUtenforInntektsgivendeAktivitet,,,,5007/65/1846/0/0,,,[],,,,,,,,
35,"['11867797345 (GIFT)', '05857898488 (GIFT)']",annenFastEiendomUtenforInntektsgivendeAktivitet,,,,3107/120/53/0/0,,,[],,,,,,,,
36,"['29817399981 (GIFT)', '27817199467 (GIFT)']",annenFastEiendomUtenforInntektsgivendeAktivitet,,,,2100/22/251/0/0,1401,Vei 401,[],26,B,9170,LONGYEARBYEN,,,,
37,['310459402 (aksjeselskap)'],annenFastEiendomInnenforInntektsgivendeAktivitet,,,,3101/100/8/0/0,,,[],,,,,,,,
38,['07891498130 (UGIFT)'],annenFastEiendomInnenforInntektsgivendeAktivitet,,,,3103/3/2524/0/0,5085,Solgaard skog,[],71,,1599,MOSS,,,,
39,['18891599540 (UGIFT)'],annenFastEiendomInnenforInntektsgivendeAktivitet,,,,2100/22/159/0/0,1212,Vei 212,[],11,,9170,LONGYEARBYEN,,,,
40,['15849297969 (UGIFT)'],fastEiendomPaaSvalbard,,,,2100/22/124/0/0,1408,Vei 408,[],1,,9170,LONGYEARBYEN,,,,
41,['14901899747 (UGIFT)'],fastEiendomPaaSvalbard,,,,2100/12/1/0/2,,,[],,,,,,,,
42,['28892098257 (UGIFT)'],fastEiendomPaaSvalbard,,,,2100/12/1/0/4,,,[],,,,,,,,
43,['21825399175 (UGIFT)'],selveidFritidseiendom,,,,3101/80/5/0/1,6940,Torpedalsveien,[],335,,1764,HALDEN,,,,
44,['15880399079 (UGIFT)'],selveidFritidseiendom,,,,3101/15/11/0/0,6300,Sponvikveien,[],39,,1794,SPONVIKA,,,,
45,['09852248111 (UGIFT)'],selveidFritidseiendom,,,,2100/1/11/0/0,,,[],,,,,,,,
46,"['15816197055 (GIFT)', '08896395557 (GIFT)']",skogeiendom,,,,3101/44/2/0/0,,,[],,,,,,,,
47,"['08843049568 (GIFT)', '08813049083 (GIFT)']",skogeiendom,,,,3101/250/15/0/0,,,[],,,,,,,,
48,['313191796 (aksjeselskap)'],jordbrukseiendom,,,,0301/97/5/0/0,17749,Trondheimsveien,[],588,,0964,OSLO,,,,
49,"['10913149373 (GIFT)', '20893448838 (GIFT)']",jordbrukseiendom,,,,3101/44/1/0/0,1710,Brødenveien,[],191,,1763,HALDEN,,,,
50,['24917797311 (UGIFT)'],jordbrukseiendom,,,,3101/45/1/0/0,1710,Brødenveien,[],181,,1763,HALDEN,,,,
51,"['09861348870 (GIFT)', '04821148974 (GIFT)']",jordbrukseiendom,,,,3101/60/1/0/0,5510,Remmen,[],1,,1783,HALDEN,,,,
52,['02915197925 (UGIFT)'],jordbrukseiendom,,,,5001/25/1/0/0,9395,Malvikvegen,[],2,,7055,RANHEIM,,,,
53,"['09861348870 (GIFT)', '04821148974 (GIFT)']",jordbrukseiendom,,,,3101/50/1/0/0,,,[],,,,,,,,
54,"['09861348870 (GIFT)', '04821148974 (GIFT)']",skalIkkeFastsettes,,,,3101/50/13/0/0,,,[],,,,,,,,
55,"['09861348870 (GIFT)', '04821148974 (GIFT)']",skalIkkeFastsettes,,,,3101/50/16/0/0,,,[],,,,,,,,
56,['312434865 (borettslag)'],skalIkkeFastsettes,,,,0301/213/146/0/0,12550,Gyldenløves gate,[],19,A,0260,OSLO,,,,
57,['06814297754 (UGIFT)'],boenhetIBoligselskap,leilighet,140,1929,,12550,Gyldenløves gate,['U0101'],19,A,0260,OSLO,2021,2305265,0.1697239754,13582433
58,['08874898148 (UGIFT)'],boenhetIBoligselskap,leilighet,154,1929,,12550,Gyldenløves gate,['H0101'],19,A,0260,OSLO,2021,2879316,0.1980489956,14538401
59,['55828900756 (UOPPGITT)'],boenhetIBoligselskap,leilighet,169,1931,,12550,Gyldenløves gate,['H0201'],19,A,0260,OSLO,2021,3337446,0.2148281501,15535422
60,"['19865999243 (GIFT)', '19865898781 (GIFT)']",boenhetIBoligselskap,leilighet,102,1930,,12550,Gyldenløves gate,['H0301'],19,A,0260,OSLO,2021,2311295,0.2133152442,10835115
61,"['19865999243 (GIFT)', '19865898781 (GIFT)']",boenhetIBoligselskap,leilighet,183,1929,,12550,Gyldenløves gate,['H0101'],19,B,0260,OSLO,2021,3450264,0.2098278321,16443310
